File Identification, FILEID, 6, A/N
State/U.S. Abbreviation (USPS), STUSAB, 2, A
Characteristic Iteration, CHARITER, 3, A/N
Characteristic Iteration File Sequence Number, CIFSN, 2, A/N
Logical Record Number, LOGRECNO, 7, N
Total, PCT012O001, 34, 9
- Male, PCT012O002, 34, 9
--- Under 1 year, PCT012O003, 34, 9
--- 1 year, PCT012O004, 34, 9
--- 2 years, PCT012O005, 34, 9
--- 3 years, PCT012O006, 34, 9
--- 4 years, PCT012O007, 34, 9
--- 5 years, PCT012O008, 34, 9
--- 6 years, PCT012O009, 34, 9
--- 7 years, PCT012O010, 34, 9
--- 8 years, PCT012O011, 34, 9
--- 9 years, PCT012O012, 34, 9
--- 10 years, PCT012O013, 34, 9
--- 11 years, PCT012O014, 34, 9
--- 12 years, PCT012O015, 34, 9
--- 13 years, PCT012O016, 34, 9
--- 14 years, PCT012O017, 34, 9
--- 15 years, PCT012O018, 34, 9
--- 16 years, PCT012O019, 34, 9
--- 17 years, PCT012O020, 34, 9
--- 18 years, PCT012O021, 34, 9
--- 19 years, PCT012O022, 34, 9
--- 20 years, PCT012O023, 34, 9
--- 21 years, PCT012O024, 34, 9
--- 22 years, PCT012O025, 34, 9
--- 23 years, PCT012O026, 34, 9
--- 24 years, PCT012O027, 34, 9
--- 25 years, PCT012O028, 34, 9
--- 26 years, PCT012O029, 34, 9
--- 27 years, PCT012O030, 34, 9
--- 28 years, PCT012O031, 34, 9
--- 29 years, PCT012O032, 34, 9
--- 30 years, PCT012O033, 34, 9
--- 31 years, PCT012O034, 34, 9
--- 32 years, PCT012O035, 34, 9
--- 33 years, PCT012O036, 34, 9
--- 34 years, PCT012O037, 34, 9
--- 35 years, PCT012O038, 34, 9
--- 36 years, PCT012O039, 34, 9
--- 37 years, PCT012O040, 34, 9
--- 38 years, PCT012O041, 34, 9
--- 39 years, PCT012O042, 34, 9
--- 40 years, PCT012O043, 34, 9
--- 41 years, PCT012O044, 34, 9
--- 42 years, PCT012O045, 34, 9
--- 43 years, PCT012O046, 34, 9
--- 44 years, PCT012O047, 34, 9
--- 45 years, PCT012O048, 34, 9
--- 46 years, PCT012O049, 34, 9
--- 47 years, PCT012O050, 34, 9
--- 48 years, PCT012O051, 34, 9
--- 49 years, PCT012O052, 34, 9
--- 50 years, PCT012O053, 34, 9
--- 51 years, PCT012O054, 34, 9
--- 52 years, PCT012O055, 34, 9
--- 53 years, PCT012O056, 34, 9
--- 54 years, PCT012O057, 34, 9
--- 55 years, PCT012O058, 34, 9
--- 56 years, PCT012O059, 34, 9
--- 57 years, PCT012O060, 34, 9
--- 58 years, PCT012O061, 34, 9
--- 59 years, PCT012O062, 34, 9
--- 60 years, PCT012O063, 34, 9
--- 61 years, PCT012O064, 34, 9
--- 62 years, PCT012O065, 34, 9
--- 63 years, PCT012O066, 34, 9
--- 64 years, PCT012O067, 34, 9
--- 65 years, PCT012O068, 34, 9
--- 66 years, PCT012O069, 34, 9
--- 67 years, PCT012O070, 34, 9
--- 68 years, PCT012O071, 34, 9
--- 69 years, PCT012O072, 34, 9
--- 70 years, PCT012O073, 34, 9
--- 71 years, PCT012O074, 34, 9
--- 72 years, PCT012O075, 34, 9
--- 73 years, PCT012O076, 34, 9
--- 74 years, PCT012O077, 34, 9
--- 75 years, PCT012O078, 34, 9
--- 76 years, PCT012O079, 34, 9
--- 77 years, PCT012O080, 34, 9
--- 78 years, PCT012O081, 34, 9
--- 79 years, PCT012O082, 34, 9
--- 80 years, PCT012O083, 34, 9
--- 81 years, PCT012O084, 34, 9
--- 82 years, PCT012O085, 34, 9
--- 83 years, PCT012O086, 34, 9
--- 84 years, PCT012O087, 34, 9
--- 85 years, PCT012O088, 34, 9
--- 86 years, PCT012O089, 34, 9
--- 87 years, PCT012O090, 34, 9
--- 88 years, PCT012O091, 34, 9
--- 89 years, PCT012O092, 34, 9
--- 90 years, PCT012O093, 34, 9
--- 91 years, PCT012O094, 34, 9
--- 92 years, PCT012O095, 34, 9
--- 93 years, PCT012O096, 34, 9
--- 94 years, PCT012O097, 34, 9
--- 95 years, PCT012O098, 34, 9
--- 96 years, PCT012O099, 34, 9
--- 97 years, PCT012O100, 34, 9
--- 98 years, PCT012O101, 34, 9
--- 99 years, PCT012O102, 34, 9
--- 100 to 104 years, PCT012O103, 34, 9
--- 105 to 109 years, PCT012O104, 34, 9
--- 110 years and over, PCT012O105, 34, 9
- Female, PCT012O106, 34, 9
--- Under 1 year, PCT012O107, 34, 9
--- 1 year, PCT012O108, 34, 9
--- 2 years, PCT012O109, 34, 9
--- 3 years, PCT012O110, 34, 9
--- 4 years, PCT012O111, 34, 9
--- 5 years, PCT012O112, 34, 9
--- 6 years, PCT012O113, 34, 9
--- 7 years, PCT012O114, 34, 9
--- 8 years, PCT012O115, 34, 9
--- 9 years, PCT012O116, 34, 9
--- 10 years, PCT012O117, 34, 9
--- 11 years, PCT012O118, 34, 9
--- 12 years, PCT012O119, 34, 9
--- 13 years, PCT012O120, 34, 9
--- 14 years, PCT012O121, 34, 9
--- 15 years, PCT012O122, 34, 9
--- 16 years, PCT012O123, 34, 9
--- 17 years, PCT012O124, 34, 9
--- 18 years, PCT012O125, 34, 9
--- 19 years, PCT012O126, 34, 9
--- 20 years, PCT012O127, 34, 9
--- 21 years, PCT012O128, 34, 9
--- 22 years, PCT012O129, 34, 9
--- 23 years, PCT012O130, 34, 9
--- 24 years, PCT012O131, 34, 9
--- 25 years, PCT012O132, 34, 9
--- 26 years, PCT012O133, 34, 9
--- 27 years, PCT012O134, 34, 9
--- 28 years, PCT012O135, 34, 9
--- 29 years, PCT012O136, 34, 9
--- 30 years, PCT012O137, 34, 9
--- 31 years, PCT012O138, 34, 9
--- 32 years, PCT012O139, 34, 9
--- 33 years, PCT012O140, 34, 9
--- 34 years, PCT012O141, 34, 9
--- 35 years, PCT012O142, 34, 9
--- 36 years, PCT012O143, 34, 9
--- 37 years, PCT012O144, 34, 9
--- 38 years, PCT012O145, 34, 9
--- 39 years, PCT012O146, 34, 9
--- 40 years, PCT012O147, 34, 9
--- 41 years, PCT012O148, 34, 9
--- 42 years, PCT012O149, 34, 9
--- 43 years, PCT012O150, 34, 9
--- 44 years, PCT012O151, 34, 9
--- 45 years, PCT012O152, 34, 9
--- 46 years, PCT012O153, 34, 9
--- 47 years, PCT012O154, 34, 9
--- 48 years, PCT012O155, 34, 9
--- 49 years, PCT012O156, 34, 9
--- 50 years, PCT012O157, 34, 9
--- 51 years, PCT012O158, 34, 9
--- 52 years, PCT012O159, 34, 9
--- 53 years, PCT012O160, 34, 9
--- 54 years, PCT012O161, 34, 9
--- 55 years, PCT012O162, 34, 9
--- 56 years, PCT012O163, 34, 9
--- 57 years, PCT012O164, 34, 9
--- 58 years, PCT012O165, 34, 9
--- 59 years, PCT012O166, 34, 9
--- 60 years, PCT012O167, 34, 9
--- 61 years, PCT012O168, 34, 9
--- 62 years, PCT012O169, 34, 9
--- 63 years, PCT012O170, 34, 9
--- 64 years, PCT012O171, 34, 9
--- 65 years, PCT012O172, 34, 9
--- 66 years, PCT012O173, 34, 9
--- 67 years, PCT012O174, 34, 9
--- 68 years, PCT012O175, 34, 9
--- 69 years, PCT012O176, 34, 9
--- 70 years, PCT012O177, 34, 9
--- 71 years, PCT012O178, 34, 9
--- 72 years, PCT012O179, 34, 9
--- 73 years, PCT012O180, 34, 9
--- 74 years, PCT012O181, 34, 9
--- 75 years, PCT012O182, 34, 9
--- 76 years, PCT012O183, 34, 9
--- 77 years, PCT012O184, 34, 9
--- 78 years, PCT012O185, 34, 9
--- 79 years, PCT012O186, 34, 9
--- 80 years, PCT012O187, 34, 9
--- 81 years, PCT012O188, 34, 9
--- 82 years, PCT012O189, 34, 9
--- 83 years, PCT012O190, 34, 9
--- 84 years, PCT012O191, 34, 9
--- 85 years, PCT012O192, 34, 9
--- 86 years, PCT012O193, 34, 9
--- 87 years, PCT012O194, 34, 9
--- 88 years, PCT012O195, 34, 9
--- 89 years, PCT012O196, 34, 9
--- 90 years, PCT012O197, 34, 9
--- 91 years, PCT012O198, 34, 9
--- 92 years, PCT012O199, 34, 9
--- 93 years, PCT012O200, 34, 9
--- 94 years, PCT012O201, 34, 9
--- 95 years, PCT012O202, 34, 9
--- 96 years, PCT012O203, 34, 9
--- 97 years, PCT012O204, 34, 9
--- 98 years, PCT012O205, 34, 9
--- 99 years, PCT012O206, 34, 9
--- 100 to 104 years, PCT012O207, 34, 9
--- 105 to 109 years, PCT012O208, 34, 9
--- 110 years and over, PCT012O209, 34, 9
